LOCAL_DATE,MEAN_TEMPERATURE_CALGARY,MEAN_TEMPERATURE_VANCOUVER,MEAN_TEMPERATURE_WINNIPEG,MEAN_TEMPERATURE_TORONTO,TOTAL_PRECIPITATION_CALGARY,TOTAL_PRECIPITATION_VANCOUVER,TOTAL_PRECIPITATION_WINNIPEG,TOTAL_PRECIPITATION_TORONTO
1/1/1940,-11.4,8.9,-20.9,-8.9,0.5,5.8,0,0
1/2/1940,-12,9.7,-18.4,-13.1,0.5,7.1,0,0.3
1/3/1940,-12,7.8,-22,-6.1,1,1,0,0
1/4/1940,-11.4,8.1,-20.3,-6.4,0.8,0.5,0,0.5
1/5/1940,-13.1,7,-18.7,-7.2,0.5,0.8,0,16.5
1/6/1940,-9.8,5,-18.6,-10.3,0,0,0,0
1/7/1940,-11.4,1.4,-14.8,-18.1,0,0,0,0
1/8/1940,-11.1,1.2,-11.9,-14.5,1,0,0.8,0
1/9/1940,-15.6,2.2,-12.8,-13.3,0,3.3,0.5,0.3
1/10/1940,-10.6,2.5,-10.9,-9.2,1.3,0,0.8,0
1/11/1940,-10.9,0.6,-11.4,-5.3,0,3.8,0.3,2
1/12/1940,-10.9,-1.7,-15,0,0,0,0,0
1/13/1940,-5.3,2.5,-14.5,0.3,0,0,0,0
1/14/1940,-19.2,3.1,-15.6,2.8,0.3,0,0.5,24.4
1/15/1940,-22.5,3.1,-28.9,-2.2,0,19.8,0,1.3
1/16/1940,-19.7,4.5,-25.9,-14.7,0,8.6,0,0
1/17/1940,-18.1,2.5,-27.3,-17.5,0,0,0.3,0
1/18/1940,-17.8,6.4,-20.6,-12.5,0,0,0.5,0
1/19/1940,-12.8,2.5,-16.1,-14.7,0.3,0,0,0
1/20/1940,-17.3,4.2,-12.5,-10.6,0,0,0.3,0
1/21/1940,-11.4,4.2,-11.7,-5.6,0,0,0,0.3
1/22/1940,-16.7,0.9,-12.8,-6.7,0,0,1.3,1.3
1/23/1940,-21.1,3.4,-18.7,-10,0,0,0,0
1/24/1940,-22.2,3.3,-21.4,-10.8,0,2,0.5,0.5
1/25/1940,-24.5,1.9,-18.1,-9.2,0,0,0,0
1/26/1940,-10.6,5.6,-17.2,-13.9,0,9.4,0,0
1/27/1940,2.2,8.7,-13.9,-16.4,0,26.2,0,0
1/28/1940,7.3,9.5,-12.3,-9.2,0,14.7,0,1
1/29/1940,4.2,10,-15.8,-5.6,0,0,0,0
1/30/1940,0.6,4.7,-5.3,-12,0,0,1.8,0
1/31/1940,-4.2,4.7,-8.1,-10,0,0,6.4,0
2/1/1940,-10.6,2.8,-10.3,-7,0.3,0,0,5.1
2/2/1940,-11.4,2.2,-15,-12,0.3,0,0,0
2/3/1940,-12.5,3.6,-8.9,-5,0.3,2.3,3,0
2/4/1940,-11.7,6.4,-5.9,-2.2,0,9.9,0,0
2/5/1940,-8.9,7.5,-5,-2.5,0,6.4,0.5,0
2/6/1940,-8.9,7,-9.7,-1.1,5.6,32,0.5,6.4
2/7/1940,-7.8,6.7,-15,-0.8,1.3,0.8,0,0
2/8/1940,-4.2,7,-20.3,-2.2,0,14.5,0,0.8
2/9/1940,3.6,7.5,-11.1,-12,0,11.7,0,0.3
2/10/1940,-3.1,5.6,-7.3,-6.1,0.5,2,0.8,1
2/11/1940,-2.5,3.6,-7.3,-3.9,0,1.3,0.5,0
2/12/1940,-7.5,5.9,-12.5,-1.4,0,17.8,0,0.3
2/13/1940,-4.2,6.1,-6.1,-8.4,0,2.8,0,0
2/14/1940,-3.4,4.8,-5.6,-8.1,0,0,0.8,0
2/15/1940,-7.2,5.3,-4.2,-8.3,0,4.8,3,0
2/16/1940,-5.6,4.8,-7.8,-10.3,0,8.6,1.3,0
2/17/1940,-7.8,7.5,-15.3,-6.1,0,0.8,0,0
