LOCAL_DATE,MEAN_TEMPERATURE_CALGARY,MEAN_TEMPERATURE_VANCOUVER,MEAN_TEMPERATURE_WINNIPEG,MEAN_TEMPERATURE_TORONTO,TOTAL_PRECIPITATION_CALGARY,TOTAL_PRECIPITATION_VANCOUVER,TOTAL_PRECIPITATION_WINNIPEG,TOTAL_PRECIPITATION_TORONTO,,,,Month,Year,Date,MONTHLY_TEMPERATURE_CALGARY,MONTHLY_TEMPERATURE_VANCOUVER,MONTHLY_TEMPERATURE_WINNIPEG,MONTHLY_TEMPERATURE_TORONTO,MONTHLY_PRECIPITATION_CALGARY,MONTHLY_PRECIPITATION_VANCOUVER,MONTHLY_PRECIPITATION_WINNIPEG,MONTHLY_PRECIPITATION_TORONTO,,,,Year,Date,YEARLY_TEMPERATURE_CALGARY,YEARLY_TEMPERATURE_VANCOUVER,YEARLY_TEMPERATURE_WINNIPEG,YEARLY_TEMPERATURE_TORONTO,YEARLY_PRECIPITATION_CALGARY,YEARLY_PRECIPITATION_VANCOUVER,YEARLY_PRECIPITATION_WINNIPEG,YEARLY_PRECIPITATION_TORONTO
1/1/1940,-11.4,8.9,-20.9,-8.9,0.5,5.8,0,0,,,,1,1940,1/1/1940,-11.91290323,4.464516129,-16.52903226,-9.383870968,0.2,3.322580645,0.451612903,1.561290323,,,,1940,1/1/1940,3.704098361,10.87213115,3.391256831,6.046849315,1.247814208,2.935519126,1.18989071,2.435519126
1/2/1940,-12,9.7,-18.4,-13.1,0.5,7.1,0,0.3,,,,2,1940,2/1/1940,-10.82068966,5.510344828,-12.55862069,-6.137931034,0.779310345,4.865517241,0.610344828,1.179310345,,,,1941,1/1/1941,4.907671233,10.83506849,3.360273973,8.130410959,1.074246575,3.034246575,1.713424658,1.725205479
1/3/1940,-12,7.8,-22,-6.1,1,1,0,0,,,,3,1940,3/1/1940,-2.816129032,7.819354839,-8.34516129,-5.183870968,0.677419355,3.987096774,0.529032258,1.558064516,,,,1942,1/1/1942,3.994794521,10.3239011,2.952054795,7.60521978,1.431506849,2.222191781,1.542191781,2.640273973
1/4/1940,-11.4,8.1,-20.3,-6.4,0.8,0.5,0,0.5,,,,4,1940,4/1/1940,1.37,10.71,2.306666667,4.113333333,2.996666667,2.223333333,1.4,1.696666667,,,,1943,1/1/1943,4.458082192,9.634794521,2.185205479,6.596712329,0.921369863,2.176986301,1.383013699,1.951232877
1/5/1940,-13.1,7,-18.7,-7.2,0.5,0.8,0,16.5,,,,5,1940,5/1/1940,11.72903226,13.48387097,11.29354839,11.64193548,0.887096774,1.987096774,0.964516129,3.980645161,,,,1944,1/1/1944,4.96420765,10.31721311,3.277868852,7.594808743,1.182786885,2.282786885,1.689344262,2.26284153
1/6/1940,-9.8,5,-18.6,-10.3,0,0,0,0,,,,6,1940,6/1/1940,13.5,15.77333333,15.07,16.58275862,1.513333333,0.18,4.01,2.87,,,,1945,1/1/1945,2.904383562,9.91369863,1.969863014,6.890958904,1.646027397,2.93890411,1.584383562,2.635342466
1/7/1940,-11.4,1.4,-14.8,-18.1,0,0,0,0,,,,7,1940,7/1/1940,16.27419355,17.40967742,20.2483871,20.46451613,3.303225806,1.203225806,0.951612903,2.287096774,,,,1946,1/1/1946,4.195068493,9.754246575,2.652328767,8.075206612,1.292328767,3.165205479,1.141917808,1.938356164
1/8/1940,-11.1,1.2,-11.9,-14.5,1,0,0.8,0,,,,8,1940,8/1/1940,16.47419355,17.51935484,19.72903226,19.37741935,0.164516129,0.958064516,1.029032258,2.712903226,,,,1947,1/1/1947,3.740273973,10.05205479,2.262739726,7.550410959,1.381369863,3.204383562,1.530410959,2.082465753
1/9/1940,-15.6,2.2,-12.8,-13.3,0,3.3,0.5,0.3,,,,9,1940,9/1/1940,13.22333333,15.87,16.64333333,15.07666667,2.48,1.713333333,0.863333333,3.42,,,,1948,1/1/1948,3.006830601,9.153278689,2.644262295,7.516939891,1.241803279,3.187431694,1.107923497,2.193715847
1/10/1940,-10.6,2.5,-10.9,-9.2,1.3,0,0.8,0,,,,10,1940,10/1/1940,7.193548387,11.89677419,9.351612903,7.361290323,1.316129032,5.564516129,2.235483871,1.467741935,,,,1949,1/1/1949,3.31260274,9.174794521,2.457808219,8.802191781,0.726027397,2.44109589,1.600547945,2.02739726
1/11/1940,-10.9,0.6,-11.4,-5.3,0,3.8,0.3,2,,,,11,1940,11/1/1940,-7.15,4.616666667,-6.43,2.21,0.426666667,2.67,0.673333333,3.81,,,,1950,1/1/1950,1.307945205,8.985205479,-0.026849315,7.063561644,1.215342466,3.47890411,1.562465753,2.185205479
1/12/1940,-10.9,-1.7,-15,0,0,0,0,0,,,,12,1940,12/1/1940,-3.35483871,5.158064516,-10.66129032,-3.561290323,0.277419355,6.516129032,0.593548387,2.667741935,,,,1951,1/1/1951,1.23260274,9.404657534,1.326849315,7.721643836,2.124931507,2.946027397,1.108493151,2.334794521
1/13/1940,-5.3,2.5,-14.5,0.3,0,0,0,0,,,,1,1941,1/1/1941,-7.906451613,5.396774194,-15.36129032,-6.829032258,0.380645161,4.280645161,0.95483871,2.309677419,,,,1952,1/1/1952,3.882240437,9.800819672,3.937431694,8.395901639,1.215300546,1.975956284,0.992076503,1.840437158
1/14/1940,-19.2,3.1,-15.6,2.8,0.3,0,0.5,24.4,,,,2,1941,2/1/1941,-5.907142857,5.778571429,-15.45714286,-6.171428571,0.378571429,4.514285714,0.289285714,1.110714286,,,,1953,1/1/1953,4.38109589,10.65917808,3.692054795,8.920273973,1.480547945,3.281369863,1.970136986,2.11260274
1/15/1940,-22.5,3.1,-28.9,-2.2,0,19.8,0,1.3,,,,3,1941,3/1/1941,-2.232258065,8.477419355,-8.135483871,-3.777419355,0.648387097,2.341935484,0.551612903,1.187096774,,,,1954,1/1/1954,2.925753425,9.428219178,2.713150685,7.778356164,1.605205479,2.98109589,1.811232877,2.507945205
1/16/1940,-19.7,4.5,-25.9,-14.7,0,8.6,0,0,,,,4,1941,4/1/1941,6.823333333,10.62,5.646666667,9.246666667,0.246666667,1.883333333,0.76,1.496666667,,,,1955,1/1/1955,1.632876712,8.608219178,2.297260274,8.577260274,1.105753425,2.835342466,1.590684932,1.774246575
1/17/1940,-18.1,2.5,-27.3,-17.5,0,0,0.3,0,,,,5,1941,5/1/1941,9.438709677,12.36129032,13.67096774,13.96129032,2.761290323,3.296774194,2.964516129,1.735483871,,,,1956,1/1/1956,2.945081967,9.646721311,2.043442623,7.130874317,1.241530055,3.131420765,1.65273224,2.127595628
1/18/1940,-17.8,6.4,-20.6,-12.5,0,0,0.5,0,,,,6,1941,6/1/1941,14.98,15.48333333,18.04333333,19.30666667,2.69,1.433333333,2.203333333,2.526666667,,,,1957,1/1/1957,3.438082192,9.972054795,3.051232877,8.061643836,1.079726027,2.423835616,1.439726027,1.978356164
